epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8798,0.84628,1.72768,1.04704,0.99031,0.48553,0.70798,0.57228,0.74675,1.97828,0.93247,0.00046641,0.00046641,0.00046641
2,119.666,0.85081,0.86359,1.05153,0.87504,0.85381,0.92587,0.74638,0.80128,1.3994,0.95394,0.00093341,0.00093341,0.00093341
3,178.667,0.84865,0.82273,1.06571,0.82809,0.92852,0.95565,0.76016,0.83225,1.16369,1.02478,0.00139098,0.00139098,0.00139098
4,240.585,0.83556,0.75627,1.05341,0.85261,0.99271,0.95083,0.77698,0.71902,0.89417,0.95124,0.00138656,0.00138656,0.00138656
5,299.618,0.83855,0.71122,1.06566,0.88191,0.99444,0.94414,0.78375,0.73597,0.82242,1.00952,0.00137241,0.00137241,0.00137241
6,365.318,0.79718,0.67526,1.04791,0.93406,0.99038,0.93663,0.77484,0.71326,0.66005,0.97041,0.00135826,0.00135826,0.00135826
7,435.748,0.79906,0.64727,1.05304,0.91149,0.99444,0.95686,0.78769,0.69696,0.64056,0.98531,0.00134412,0.00134412,0.00134412
8,505.91,0.8203,0.62571,1.06151,0.91498,0.99444,0.94726,0.75741,0.75382,0.57776,1.06716,0.00132997,0.00132997,0.00132997
9,575.359,0.78734,0.57832,1.04641,0.92757,0.99444,0.97133,0.78969,0.69991,0.60687,0.98531,0.00131582,0.00131582,0.00131582
10,645.239,0.77699,0.56769,1.04595,0.78669,0.99444,0.88626,0.72927,0.70981,0.78557,1.03629,0.00130168,0.00130168,0.00130168
11,714.695,0.7711,0.55778,1.04789,0.92978,0.99444,0.95937,0.80954,0.68614,0.52009,0.99223,0.00128753,0.00128753,0.00128753
12,785.475,0.75989,0.53026,1.03622,0.93525,0.99444,0.96022,0.76806,0.75677,0.54227,1.02312,0.00127338,0.00127338,0.00127338
13,855.855,0.74177,0.51532,1.02559,0.93625,0.9774,0.95898,0.78293,0.71095,0.52164,0.99876,0.00125923,0.00125923,0.00125923
14,923.616,0.73722,0.50904,1.02782,0.93189,0.99326,0.97068,0.81685,0.65875,0.47659,0.97197,0.00124509,0.00124509,0.00124509
15,1026.43,0.7517,0.50616,1.04024,0.92997,0.9796,0.96151,0.78535,0.71335,0.47592,1.01513,0.00123094,0.00123094,0.00123094
16,1118.49,0.75651,0.48862,1.03701,0.92976,0.99444,0.9609,0.81696,0.65212,0.46938,1.05681,0.00121679,0.00121679,0.00121679
17,1214.82,0.73711,0.47733,1.03807,0.92707,0.99444,0.98274,0.82408,0.68479,0.45816,1.07079,0.00120265,0.00120265,0.00120265
18,1290.89,0.73934,0.48445,1.03043,0.93166,0.97778,0.93657,0.77575,0.66341,0.56198,0.97435,0.0011885,0.0011885,0.0011885
19,1351.75,0.73593,0.48342,1.03481,0.94002,0.98196,0.96063,0.8236,0.62478,0.40291,1.00754,0.00117435,0.00117435,0.00117435
20,1419.6,0.72583,0.47223,1.03261,0.93941,0.97837,0.97054,0.80558,0.68793,0.45858,1.02439,0.00116021,0.00116021,0.00116021
21,1483.48,0.73656,0.47937,1.03515,0.93961,0.98435,0.94944,0.79669,0.67801,0.42033,1.02759,0.00114606,0.00114606,0.00114606
22,1548.78,0.72822,0.46394,1.03108,0.93797,0.97959,0.98076,0.8347,0.66971,0.44848,1.00928,0.00113191,0.00113191,0.00113191
23,1609.97,0.71415,0.45542,1.02938,0.94003,0.97851,0.93889,0.78594,0.65716,0.4036,1.02433,0.00111776,0.00111776,0.00111776
24,1674.04,0.70537,0.43969,1.01799,0.93741,0.9796,0.93693,0.80105,0.65607,0.436,1.01772,0.00110362,0.00110362,0.00110362
25,1736.01,0.70235,0.43526,1.02492,0.93842,0.97999,0.95969,0.8045,0.6627,0.41505,1.01457,0.00108947,0.00108947,0.00108947
26,1792.08,0.71997,0.43622,1.02932,0.93817,0.98798,0.94985,0.81358,0.63469,0.38208,1.01343,0.00107532,0.00107532,0.00107532
27,1850.25,0.71118,0.43524,1.02547,0.93277,0.98655,0.94898,0.80356,0.65282,0.40277,1.02064,0.00106118,0.00106118,0.00106118
28,1905.98,0.7021,0.43511,1.02357,0.94114,0.98053,0.99296,0.86508,0.64597,0.4059,0.99243,0.00104703,0.00104703,0.00104703
29,1964.99,0.69781,0.4208,1.02603,0.94091,0.97763,0.95883,0.80346,0.69691,0.39067,1.05772,0.00103288,0.00103288,0.00103288
30,2021.74,0.7048,0.4315,1.0414,0.93913,0.98601,0.93677,0.79045,0.67026,0.40042,1.06186,0.00101873,0.00101873,0.00101873
31,2083.86,0.69225,0.41227,1.027,0.93726,0.98733,0.94785,0.79512,0.6247,0.37735,1.04324,0.00100459,0.00100459,0.00100459
32,2148.26,0.70902,0.41645,1.03592,0.9387,0.97783,0.94721,0.77467,0.6782,0.39513,1.07748,0.00099044,0.00099044,0.00099044
33,2227.62,0.68611,0.40671,1.01758,0.93666,0.9892,0.94839,0.80765,0.65131,0.37245,1.05299,0.000976293,0.000976293,0.000976293
